name,platform,year_of_release,genre,sales
Wii Sports,Wii,2006,Sports,41.36
Super Mario Bros.,NES,1985,Platform,29.08
Mario Kart Wii,Wii,2008,Racing,15.68
Wii Sports Resort,Wii,2009,Sports,15.61
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,11.27
Tetris,GB,1989,Puzzle,23.2
New Super Mario Bros.,DS,2006,Platform,11.28
Wii Play,Wii,2006,Misc,13.96
New Super Mario Bros. Wii,Wii,2009,Platform,14.44
Duck Hunt,NES,1984,Shooter,26.93
Nintendogs,DS,2005,Simulation,9.05
Mario Kart DS,DS,2005,Racing,9.71
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,9
Wii Fit,Wii,2007,Sports,8.92
Kinect Adventures!,X360,2010,Misc,15
Wii Fit Plus,Wii,2009,Sports,9.01
Grand Theft Auto V,PS3,2013,Action,7.02
Grand Theft Auto: San Andreas,PS2,2004,Action,9.43
Super Mario World,SNES,1990,Platform,12.78
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,4.74
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,6.38
Super Mario Land,GB,1989,Platform,10.83
Super Mario Bros. 3,NES,1988,Platform,9.54
Grand Theft Auto V,X360,2013,Action,9.66
Grand Theft Auto: Vice City,PS2,2002,Action,8.41
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,6.06
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,3.43
Pokemon Black/Pokemon White,DS,2010,Role-Playing,5.51
Gran Turismo 3: A-Spec,PS2,2001,Racing,6.85
Call of Duty: Modern Warfare 3,X360,2011,Shooter,9.04
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,5.89
Call of Duty: Black Ops 3,PS4,2015,Shooter,6.03
Call of Duty: Black Ops,X360,2010,Shooter,9.7
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,5.28
Call of Duty: Black Ops II,PS3,2012,Shooter,4.99
Call of Duty: Black Ops II,X360,2012,Shooter,8.25
Call of Duty: Modern Warfare 2,X360,2009,Shooter,8.52
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,5.54
Grand Theft Auto III,PS2,2001,Action,6.99
Super Smash Bros. Brawl,Wii,2008,Fighting,6.62
Mario Kart 7,3DS,2011,Racing,5.03
Call of Duty: Black Ops,PS3,2010,Shooter,5.99
Grand Theft Auto V,PS4,2014,Action,3.96
Animal Crossing: Wild World,DS,2005,Simulation,2.5
Halo 3,X360,2007,Shooter,7.97
Super Mario 64,N64,1996,Platform,6.91
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,4.34
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,4.35
Gran Turismo 4,PS2,2004,Racing,3.01
Super Mario Galaxy,Wii,2007,Platform,6.06
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,6.16
Grand Theft Auto IV,X360,2008,Action,6.76
Gran Turismo,PS,1997,Racing,4.02
Super Mario 3D Land,3DS,2011,Platform,4.89
Gran Turismo 5,PS3,2010,Racing,2.96
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,4.99
Super Mario All-Stars,SNES,1993,Platform,5.99
Grand Theft Auto IV,PS3,2008,Action,4.76
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,4.34
Super Mario 64,DS,2004,Platform,5.01
Call of Duty: Ghosts,X360,2013,Shooter,6.73
Just Dance 3,Wii,2011,Misc,5.95
New Super Mario Bros. 2,3DS,2012,Platform,3.66
Mario Kart 64,N64,1996,Racing,5.55
Halo: Reach,X360,2010,Shooter,7.04
Final Fantasy VII,PS,1997,Role-Playing,3.01
Halo 4,X360,2012,Shooter,6.65
Gran Turismo 2,PS,1999,Racing,3.88
Just Dance 2,Wii,2010,Misc,5.8
Call of Duty: Ghosts,PS3,2013,Shooter,4.1
Call of Duty 4: Modern Warfare,X360,2007,Shooter,5.93
Donkey Kong Country,SNES,1994,Platform,4.36
Minecraft,X360,2013,Misc,5.7
Animal Crossing: New Leaf,3DS,2012,Simulation,2.03
Mario Party DS,DS,2007,Misc,4.4
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,5.05
Super Mario Kart,SNES,1992,Racing,3.54
FIFA 16,PS4,2015,Sports,1.12
Halo 2,XB,2004,Shooter,6.82
Wii Party,Wii,2010,Misc,1.75
Mario Party 8,Wii,2007,Misc,3.74
FIFA Soccer 13,PS3,2012,Action,1.06
GoldenEye 007,N64,1997,Shooter,5.8
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,2.79
Final Fantasy X,PS2,2001,Role-Playing,2.91
The Sims 3,PC,2009,Simulation,0.99
Mario & Sonic at the Olympic Games,Wii,2007,Sports,2.57
Star Wars Battlefront (2015),PS4,2015,Shooter,2.99
Final Fantasy VIII,PS,1999,Role-Playing,2.28
Pac-Man,2600,1982,Puzzle,7.28
Pokémon Platinum Version,DS,2008,Role-Playing,2.76
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,2.9
Call of Duty: Advanced Warfare,PS4,2014,Shooter,2.81
The Legend of Zelda: Ocarina of Time,N64,1998,Action,4.1
FIFA 17,PS4,2016,Sports,0.66
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,3.78
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,3.27
Super Mario Galaxy 2,Wii,2010,Platform,3.56
Super Mario Bros. 2,NES,1988,Platform,5.39
Call of Duty: Black Ops 3,XOne,2015,Shooter,4.59
Call of Duty: World at War,X360,2008,Shooter,4.81
Battlefield 3,X360,2011,Shooter,4.46
Need for Speed Underground,PS2,2003,Racing,3.27
Just Dance,Wii,2009,Misc,3.48
Battlefield 3,PS3,2011,Shooter,2.85
Fallout 4,PS4,2015,Role-Playing,2.53
Tekken 3,PS,1998,Fighting,3.27
The Legend of Zelda: Twilight Princess,Wii,2006,Action,3.74
Pokemon Sun/Moon,3DS,2016,Role-Playing,2.98
Crash Bandicoot 3: Warped,PS,1998,Platform,3.68
Mario Kart 8,WiiU,2014,Racing,3.15
Super Smash Bros. Melee,GC,2001,Fighting,4.41
Mario Kart: Double Dash!!,GC,2003,Racing,4.12
Need for Speed Underground 2,PS2,2004,Racing,2.71
Medal of Honor: Frontline,PS2,2002,Shooter,2.93
Crash Bandicoot,PS,1996,Platform,3.23
Just Dance 4,Wii,2012,Misc,4.05
Gears of War 2,X360,2008,Shooter,4.15
Uncharted 3: Drake's Deception,PS3,2011,Action,2.77
Zumba Fitness,Wii,2010,Sports,3.45
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,3.11
Uncharted 2: Among Thieves,PS3,2009,Action,3.27
FIFA 12,PS3,2011,Sports,0.84
Big Brain Academy,DS,2005,Misc,1.66
The Legend of Zelda,NES,1986,Action,3.74
Red Dead Redemption,PS3,2010,Action,2.79
FIFA 14,PS3,2013,Sports,0.78
Assassin's Creed III,PS3,2012,Action,2.64
Donkey Kong Country Returns,Wii,2010,Platform,3.17
Halo: Combat Evolved,XB,2001,Shooter,4.98
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,2.55
Pokémon Emerald Version,GBA,2004,Role-Playing,2.57
Kingdom Hearts,PS2,2002,Role-Playing,3.64
Pokémon Crystal Version,GB,2000,Role-Playing,2.55
Halo 3: ODST,X360,2009,Shooter,4.34
Red Dead Redemption,X360,2010,Action,3.7
Super Mario Sunshine,GC,2002,Platform,4.01
Street Fighter II: The World Warrior,SNES,1992,Fighting,2.47
World of Warcraft,PC,2004,Role-Playing,0.08
Driver,PS,1999,Action,3.11
Gears of War 3,X360,2011,Shooter,4.05
Kinect Sports,X360,2010,Sports,3.92
Gears of War,X360,2006,Shooter,3.54
FIFA 15,PS4,2014,Sports,0.8
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,2.45
Sonic the Hedgehog 2,GEN,1992,Platform,4.47
Metal Gear Solid,PS,1998,Action,3.18
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,2.63
Final Fantasy XII,PS2,2006,Role-Playing,1.88
The Last of Us,PS3,2013,Action,2.41
LittleBigPlanet,PS3,2008,Platform,2.8
Resident Evil 2,PS,1998,Action,1.88
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,0.63
Tekken 2,PS,1996,Fighting,2.26
Destiny,PS4,2014,Shooter,2.49
LEGO Star Wars: The Complete Saga,Wii,2007,Action,3.57
Cooking Mama,DS,2006,Simulation,3.07
Tetris,NES,1988,Puzzle,2.97
Super Smash Bros.,N64,1999,Fighting,2.95
Assassin's Creed II,PS3,2009,Action,2.54
Assassin's Creed,X360,2007,Adventure,3.28
Forza Motorsport 3,X360,2009,Racing,2.99
Super Mario Advance,GBA,2001,Platform,3.14
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,0.47
Batman: Arkham City,PS3,2011,Action,2.71
Grand Theft Auto V,XOne,2014,Action,2.81
Mario Kart: Super Circuit,GBA,2001,Racing,2.62
Super Mario World,GBA,2001,Platform,3.21
Pokemon Stadium,N64,1999,Strategy,3.18
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,2.07
Call of Duty: World at War,PS3,2008,Shooter,2.73
Uncharted 4: A Thief's End,PS4,2016,Shooter,1.85
Dr. Mario,GB,1989,Puzzle,2.18
Final Fantasy XIII,PS3,2009,Role-Playing,1.74
Pokemon Pinball,GB,1999,Misc,3.02
Final Fantasy IX,PS,2000,Role-Playing,1.62
Assassin's Creed III,X360,2012,Action,3.13
Final Fantasy X-2,PS2,2003,Role-Playing,1.92
Donkey Kong 64,N64,1999,Platform,3.33
Call of Duty: Advanced Warfare,XOne,2014,Shooter,3.22
Minecraft,PS3,2014,Misc,2.03
Assassin's Creed II,X360,2009,Action,3.11
Tomb Raider II,PS,1997,Action,2.3
Madden NFL 2004,PS2,,Sports,4.26
Tomodachi Life,3DS,2013,Simulation,0.97
New Super Mario Bros. U,WiiU,2012,Platform,2.3
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,0.65
Super Mario Bros. 3,GBA,2003,Platform,2.93
Professor Layton and the Curious Village,DS,2007,Puzzle,1.21
Super Mario Land 3: Wario Land,GB,1994,Platform,2.49
FIFA Soccer 13,X360,2012,Action,1.09
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,2.1
Diablo III,PC,2012,Role-Playing,2.44
Medal of Honor: Rising Sun,PS2,2003,Shooter,1.98
Kirby's Dream Land,GB,1992,Platform,2.71
Microsoft Flight Simulator,PC,1996,Simulation,3.22
Guitar Hero II,PS2,2006,Misc,3.81
Fable III,X360,2010,Role-Playing,3.59
Mario & Sonic at the Olympic Games,DS,2008,Sports,1.63
Resident Evil 5,PS3,2009,Action,1.96
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,1.85
Super Mario Bros.,GB,1999,Platform,3.4
FIFA Soccer 11,PS3,2010,Sports,0.61
Resident Evil,PS,1996,Action,2.05
Grand Theft Auto: Vice City Stories,PSP,2006,Action,1.7
Tony Hawk's Pro Skater,PS,1999,Sports,3.42
Warzone 2100,PS,1999,Strategy,2.79
Spyro the Dragon,PS,1998,Platform,3.36
Guitar Hero III: Legends of Rock,PS2,2007,Misc,3.49
Link's Crossbow Training,Wii,2007,Shooter,3.05
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,1.83
Fallout 3,X360,2008,Role-Playing,3.4
Uncharted: Drake's Fortune,PS3,2007,Action,2.31
Madden NFL 06,PS2,2005,Sports,3.98
Diddy Kong Racing,N64,1997,Racing,2.91
Monster Hunter Freedom 3,PSP,2010,Role-Playing,0
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,2.6
Dr. Mario,NES,1990,Puzzle,2.62
StarCraft II: Wings of Liberty,PC,2010,Strategy,2.57
Assassin's Creed,PS3,2007,Adventure,1.91
God of War III,PS3,2010,Action,2.74
Crash Team Racing,PS,1999,Racing,2.57
LEGO Star Wars: The Complete Saga,DS,2007,Action,2.83
Driver 2,PS,2000,Action,2.36
Batman: Arkham City,X360,2011,Action,2.99
The Last of Us,PS4,2014,Action,1.88
The Simpsons: Hit & Run,PS2,2003,Racing,1.73
Tony Hawk's Pro Skater 2,PS,2000,Sports,3.05
The Lord of the Rings: The Two Towers,PS2,2002,Action,1.94
Tomb Raider,PS,1996,Action,2.29
Animal Crossing: City Folk,Wii,2008,Simulation,1.82
Uncharted: The Nathan Drake Collection,PS4,2015,Action,2.07
The Legend of Zelda: A Link to the Past,SNES,1991,Action,2.42
The Legend of Zelda: The Wind Waker,GC,2002,Action,2.6
Guitar Hero III: Legends of Rock,Wii,2007,Misc,3.04
Luigi's Mansion: Dark Moon,3DS,2013,Action,1.8
Forza Motorsport 4,X360,2011,Racing,2.08
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,1.87
Madden NFL 2005,PS2,2004,Sports,4.18
Guitar Hero III: Legends of Rock,X360,2007,Misc,3.19
Pitfall!,2600,1981,Platform,4.21
Madden NFL 07,PS2,2006,Sports,3.63
Halo 5: Guardians,XOne,2015,Shooter,2.78
Spider-Man: The Movie,PS2,2002,Action,2.71
Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,0.2
Call of Duty: Infinite Warfare,PS4,2016,Shooter,1.61
God of War,PS2,2005,Action,2.71
Splatoon,WiiU,2015,Shooter,1.54
Nintendo Land,WiiU,2012,Misc,2.52
Tony Hawk's Pro Skater 3,PS2,2001,Sports,2.66
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,0.1
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,2.82
Zelda II: The Adventure of Link,NES,1987,Adventure,2.19
Need for Speed: Most Wanted,PS2,2005,Racing,2.03
Michael Jackson: The Experience,Wii,2010,Misc,2.64
Call of Duty: Advanced Warfare,PS3,2014,Shooter,1.56
Resistance: Fall of Man,PS3,2006,Shooter,1.74
Sonic the Hedgehog,GEN,1991,Platform,3.03
Kingdom Hearts II,PS2,2005,Role-Playing,2.2
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,2.09
Super Mario 3D World,WiiU,2013,Platform,2.11
Minecraft,PS4,2014,Misc,1.48
Asteroids,2600,1980,Shooter,4
Call of Duty: Advanced Warfare,X360,2014,Shooter,2.77
FIFA 15,PS3,2014,Sports,0.58
Fable II,X360,2008,Role-Playing,2.51
Namco Museum,GBA,2001,Misc,3
Batman: Arkham Asylum,PS3,2009,Action,2.24
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,1.46
Assassin's Creed: Revelations,PS3,2011,Action,1.41
Fallout 4,XOne,2015,Role-Playing,2.51
FIFA 14,X360,2013,Sports,0.92
Daxter,PSP,2006,Platform,2.45
Warcraft II: Tides of Darkness,PC,1995,Strategy,1.7
FIFA Soccer 06,PS2,2005,Sports,0.78
EyeToy Play,PS2,2003,Misc,0.88
Gran Turismo 5 Prologue,PS3,2007,Racing,1.28
Assassin's Creed: Revelations,X360,2011,Action,2.25
FIFA 12,X360,2011,Sports,0.84
Teenage Mutant Ninja Turtles,NES,1989,Action,3.38
Street Fighter IV,PS3,2009,Fighting,2.03
Excitebike,NES,1984,Racing,2.04
Frogger,PS,1997,Action,3.79
Madden NFL 2003,PS2,2002,Sports,3.36
Half-Life,PC,1997,Shooter,4.03
